Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad_jump,3Cone,Shuttle,Draft_round
J.J. McCarthy,QB,6.3,219,,,,,6.82,4.23,1
Jase McClellan,RB,5.1,221,,,20,,,,6
Ladd McConkey,WR,6,186,4.39,36,13,124,,,2
Mason McCormick,G,6.4,309,5.08,35.5,,117,7.59,4.45,8
Dwight McGlothern,CB,6.2,185,4.47,32,,115,,,8
Braiden McGregor,EDGE,6.5,257,,,,,,,8
Kool.Aid McKinstry,CB,6,199,,,,,,,2
Tanner McLachlan,TE,6.5,244,4.61,35,,117,,,6
Dylan McMahon,C,6.3,299,5.1,33,,115,7.26,4.33,6
Jalen McMillan,WR,6.1,197,4.47,37,,127,6.94,4.18,3
Patrick McMorris,SAF,6,207,,31,14,112,,,8
Bub Means,WR,6.1,212,4.43,39.5,19,122,,,5
Max Melton,CB,5.11,187,4.39,40.5,,136,,,2
Harrison Mevis,K,6,241,,,,,,,8
Joe Milton,QB,6.5,235,,35,,121,,,6
Kendall Milton,RB,6.2,225,4.62,35.5,18,124,,4.38,8
Amarius Mims,OT,6.8,340,5.07,25.5,,111,,,1
Adonai Mitchell,WR,6.2,205,4.34,39.5,,136,,,2
Quinyon Mitchell,CB,6,195,4.33,38,20,122,,,1
Jacob Monk,C,6.3,308,5.09,29.5,,108,,,5
Jordan Morgan,OT,6.5,311,5.04,28,,110,,,1
Darius Muasau,LB,6,225,4.7,36.5,,117,,,6
Gabriel Murphy,EDGE,6.2,247,4.68,39.5,25,123,,,8
Myles Murphy,DT,6.4,309,5.2,28.5,,106,,4.81,8
Malik Mustapha,SAF,5.1,209,,,22,,,,4
Malik Nabers,WR,6,200,,,,,,,1
Jer'Zhan Newton,DT,6.2,304,,,,,,,2
Josh Newton,CB,5.11,190,4.51,34,15,124,,4.15,5
Bo Nix,QB,6.2,214,,,,,,,1
Maema Njongmeta,LB,6,229,4.91,,,,,4.66,8
Hunter Nourzad,C,6.3,317,,,,,,,5
Tyler Nubin,SAF,6.1,199,,,,,,,2
Drake Nugent,C,6.2,298,5.23,29.5,,101,7.33,4.5,8
Rome Odunze,WR,6.3,212,4.45,39,,124,6.88,4.03,1
Eyabi Okie-Anoma,EDGE,6.5,260,,,,,,,8
Olakitan Oladapo,SAF,6.2,216,4.58,36,15,117,,,8
Ruke Orhorhoro,DT,6.4,294,4.89,32,29,116,,,2
Tyler Owens,SAF,6.2,216,,41,,146,,,8
Patrick Paul,OT,6.8,331,5.13,29,,,7.65,,2
Julian Pearl,OT,6.6,312,,,,,,,8
Ricky Pearsall,WR,6.1,189,4.41,42,17,129,6.64,4.05,1
Andru Phillips,CB,5.11,190,4.48,42,,135,,,3
Prince Pines,G,6.5,322,5.34,30,,,,,8
Ja'Lynn Polk,WR,6.1,203,4.52,37.5,,129,,,2
Jackson Powers-Johnson,C,6.3,328,,32,,104,,,2
Sedrick Van Pran-Granger,C,6.4,298,5.2,,,,7.46,4.82,8
Michael Pratt,QB,6.3,217,,36,,114,7.2,4.23,7
Deantre Prince,CB,6,183,4.38,34.5,,125,,,5
Nehemiah Pritchett,CB,6,190,4.36,34.5,,,,,5
Josh Proctor,SAF,6.2,199,4.55,32.5,,121,,,8
Dominick Puni,G,6.5,313,5.35,30,,107,7.47,4.4,3
Keith Randolph,DT,6.4,296,5.15,28.5,,105,,,8
Spencer Rattler,QB,6,211,4.95,32,,108,7.21,4.37,5
Andrew Raym,C,6.4,314,5.42,24.5,,95,,,8
Austin Reed,QB,6.2,220,4.82,,,,,,8
Ryan Rehkow,P,6.4,235,,,,,,,8
Will Reichard,K,6.1,187,,,,,,,6
Tip Reiman,TE,6.5,271,4.64,33.5,28,121,7.02,4.26,3
Brenden Rice,WR,6.2,208,4.5,36.5,13,119,,,7
Decamerion Richardson,CB,6.2,188,4.34,35,,128,,,4
Demani Richardson,SAF,6.1,210,4.6,31,,116,,,8
Chop Robinson,EDGE,6.3,254,4.48,34.5,,128,,4.25,8
Darius Robinson,EDGE,6.5,285,4.95,35,21,111,,,1
Keilan Robinson,RB,5.8,191,4.42,33,,125,,,5
Layden Robinson,G,6.4,302,,26.5,,111,,,4
Tayvion Robinson,WR,5.11,191,,,,,,,8
Justin Rogers,DT,6.3,330,,24.5,21,99,,4.87,7
Christian Roland-Wallace,CB,6,201,,,17,,,,8
Marcus Rosemy-Jacksaint,WR,6.1,195,,35,,119,,,8
Roger Rosengarten,OT,6.5,308,4.92,30,,113,,4.6,2
Walter Rouse,OT,6.6,313,,,,,,,6
Mike Sainristil,CB,5.9,182,4.47,40,14,131,6.99,4.01,2
Andre' Sam,SAF,5.11,191,4.59,36,,123,,,8
Nick Samac,C,6.4,307,,,,,,,7
Ja'Tavion Sanders,TE,6.4,245,4.69,,,,,4.32,4
Cody Schrader,RB,5.9,202,4.61,33,,,,,8
Will Shipley,RB,5.11,206,,,,,,,4
Jaden Shirden,RB,5.8,187,4.45,34.5,,117,,,8
Jaylin Simpson,SAF,6,179,4.45,39.5,,133,,,5
Ben Sinnott,TE,6.4,250,4.68,40,,126,6.82,4.23,2
Kedon Slovis,QB,6.3,223,4.55,30,,118,,,8
Ainias Smith,WR,5.9,190,,,21,,,,5
Maason Smith,DT,6.5,306,5.01,31,,108,7.62,4.69,2
Tykee Smith,SAF,5.1,202,4.46,36,,120,,,3
Chau Smith-Wade,CB,5.1,184,4.54,34.5,18,125,7.05,4.32,5
Javon Solomon,EDGE,6.1,246,4.72,37,23,119,,,5
Brevyn Spann.Ford,TE,6.7,260,4.77,31.5,,116,7.38,,8
Fabien Lovett Sr.,DT,6.4,314,,,,,,,8
Tarheeb Still,CB,6,189,4.52,38,,120,,,5
Cade Stover,TE,6.4,247,4.65,34.5,,117,,4.45,4
Kingsley Suamataia,OT,6.5,326,5.04,28,,110,,,2
Jalen Sundell,C,6.5,301,,,,,,,8
T'Vondre Sweat,DT,6.5,366,5.27,26,,98,,,2
Marques Tampa,CB,6.1,189,,,,,,,8
Leonard Taylor,DT,6.4,303,5.12,30,,109,7.81,,8
Tory Taylor,P,6.4,223,,,,,,,4
Dadrion Taylor-Demerson,SAF,5.1,197,4.41,38,,123,,,4
Nathan Thomas,OT,6.5,332,5.19,25,,107,8.01,,8
Brian Thomas,WR,6.3,209,4.33,38.5,11,126,,,1
Xavier Thomas,EDGE,6.2,244,4.62,32.5,26,120,,,5
Jamari Thrash,WR,6,188,4.46,34,,120,7.16,,5
Ro Torrence,CB,6.3,208,,,,,,,8
Jordan Travis,QB,6.1,200,,,,,,,5
Bralen Trice,EDGE,6.4,245,4.72,,,,,,3
Zion Tupuola.Fetui,EDGE,6.3,244,,,,,,,8
Charles Turner,C,6.4,303,,31,,109,7.88,4.62,8
Dallas Turner,EDGE,6.3,247,4.46,40.5,,127,,,1
David Ugwoegbu,EDGE,6.4,250,,31.5,21,,,,8
Edefuan Ulofoshio,LB,6.1,236,4.56,39.5,,128,,,5
Sione Vaki,SAF,5.11,210,4.62,39.5,20,125,,,4
Devaughn Vele,WR,6.4,203,4.47,36,,126,,,7
Jared Verse,EDGE,6.4,254,4.58,35,31,127,7.31,4.44,1
Kimani Vidal,RB,5.8,213,4.46,37.5,18,120,7.01,4.15,6
Devontez Walker,WR,6.2,193,4.36,40.5,,134,,,4
Caedan Wallace,OT,6.5,314,5.15,31,,116,,,3
Josh Wallace,CB,5.11,185,,34.5,13,120,,4.35,8
Trevin Wallace,LB,6.1,237,4.51,37.5,,127,,,3
Tahj Washington,WR,5.1,174,,35,,122,,,8
Malik Washington,WR,5.9,191,4.47,42.5,19,126,,,6
Nathaniel Watson,LB,6.2,233,4.63,31,,111,,,6
Eric Watts,EDGE,6.6,274,4.67,36.5,21,117,7.59,4.73,8
Ryan Watts,CB,6.3,208,4.53,40.5,,125,6.82,4.13,6
Xavier Weaver,WR,6,169,,,,,,,8
Jack Westover,TE,6.3,243,,,,,,,8
Jordan Whittington,WR,6.1,205,,,18,,,,6
Nate Wiggins,CB,6.1,173,4.28,36,,127,,,1
Jared Wiley,TE,6.6,249,4.62,37,,118,7.19,,4
Michael Wiley,RB,5.11,210,4.51,33.5,,119,,4.43,8
Caleb Williams,QB,6.1,214,,,,,,,1
Evan Williams,SAF,5.11,200,4.6,40.5,,126,,,4
Isaiah Williams,WR,5.9,182,4.63,38,17,123,6.75,,8
James Williams,SAF,6.4,231,4.65,30,,117,,,7
Miyan Williams,RB,5.9,229,,,,,,,8
Johnny Wilson,WR,6.6,231,4.52,37,,128,,4.11,6
Payton Wilson,LB,6.4,233,4.43,34.5,,119,,,3
Roman Wilson,WR,5.11,185,4.39,,12,,,,3
Mekhi Wingo,DT,6,284,4.85,31.5,25,109,,,6
Xavier Worthy,WR,5.11,165,4.21,41,,131,,,1
Jaylen Wright,RB,5.11,210,4.38,38,,134,,,4
Zak Zinter,G,6.6,309,,,,,,,3
